Carpet_Area,Status,Floors,Price_sqft
3000,Ready to Move,,2800
430,Ready to Move,1.0,630
400,Under Construction,1.0,800
405,Ready to Move,9.0,690
260,New Launch,1.0,474
1200,Ready to Move,2.0,1289
1133,Under Construction,2.0,1472
737,Under Construction,1.0,958
824,Under Construction,1.0,1071
589,Ready to Move,8.0,721
900,Under Construction,1.0,1010
600,Ready to Move,,1100
567,Under Construction,1.0,737
749,Under Construction,1.0,973
737,Under Construction,1.0,958
576,Ready to Move,4.0,600
3600,Ready to Move,0.0,3600
894,Under Construction,,1069
1000,Ready to Move,1.0,1000
1250,Ready to Move,2.0,1424
945,Ready to Move,3.0,1320
1200,Ready to Move,,1200
1386,Under Construction,,2220
960,Ready to Move,1234.0,3350
728,Under Construction,,1117
560,Ready to Move,2.0,600
421,Under Construction,2.0,670
604,Under Construction,1.0,800
1250,Ready to Move,3.0,1450
420,Under Construction,1.0,675
1400,Ready to Move,,1600
1200,Ready to Move,4.0,1200
500,Ready to Move,2.0,708
845,Under Construction,,1300
752,Ready to Move,0.0,1075
920,Ready to Move,3.0,1000
5000,Ready to Move,4.0,1350
615,Ready to Move,1.0,670
700,New Launch,1.0,1500
180,New Launch,4.0,300
3000,Ready to Move,,2800
430,Ready to Move,1.0,630
400,Under Construction,1.0,800
405,Ready to Move,9.0,690
260,New Launch,1.0,474
1200,Ready to Move,2.0,1289
1133,Under Construction,2.0,1472
737,Under Construction,1.0,958
824,Under Construction,1.0,1071
589,Ready to Move,8.0,721
900,Under Construction,1.0,1010
600,Ready to Move,,1100
567,Under Construction,1.0,737
749,Under Construction,1.0,973
737,Under Construction,1.0,958
